VEHICLE_ID,MODEL_NAME,VARIANT,EMISSION_STANDARD,FUEL,COLOUR,VEHICLE_CLASS,MAKE_YEAR,SEAT_CAPACITY,IS_ELECTRIC
00012ac9b87137a6692360ab79b122cb3b06511f00b84075914c7a3ab989579c,PULSAR,NS 160 BSIV,BSIV,PETROL,PASSION RED & SATIN BLACK,MOTOR CYCLE,01/10/2018,2,false
000140a581859d57fde5ae8ac7fe4ede81a06689ffc6e896bcf1509672fb855d,VERNA-1.6,VTVT SX(O) BSIV,BSIV,PETROL,PHANTHOM BLACK,MOTOR CAR,01/01/2019,5,false
000498b98618afcb7134329ebc258ecf94d6f9b69e011cf157041213649a9a2a,AMG,GLE 43 4MATIC COUPE BSIV,BSIV,PETROL,OBSIDIAN BLACK,MOTOR CAR,01/10/2018,5,false
000ecc5daac0fde6c6cab1ca49be5d9287f62eb231ed7cb9534d9ca92f5effa6,ACTIVA125,W EAUTO S K S DRUM CBSWALOYWL BSIV,BSIV,PETROL,RED-M,MOTOR CYCLE,01/11/2018,2,false
0012d9f6e697aaa64efbdce925dd70b77e8c29f979d28e79ee566bd5dbf015eb,PULSAR,NS 200 BSIV,BSIV,PETROL,SPARKLING BLACK+MATTE PEWTE,MOTOR CYCLE,01/07/2018,2,false
00166a7c50af2ce14832303d43d9afe56c81f9dd961251ca6bfede2a08d7894a,BMW,X1 SDRIVE20D EXPEDITION WITH AT (LA) BSIV,BSIV,DIESEL,BLACK SAPPHIRE METALLIC,MOTOR CAR,01/09/2018,5,false
001ed1c0f7ad2b44f691755407e1cb8aff3436315fb2fb670c85bcc9ed4f0de7,MARUTI-CIAZ,SMART HYBRID DELTA BSIV,ELECTRIC,ELECTRIC,MET MAGMA GRAY-Z7Q,MOTOR CAR,01/08/2018,5,true
0043cde99a23f18f76cf0d4c1e840690228beb6bdae25a2a1a2a4ac35f06f667,MARUTI,SWIFT-ZDI AMT BSIV,BSIV,DIESEL,PERAL ARCTIC WHITE,MOTOR CAR,01/11/2018,5,false
0060f287063ba2f2b19983d6ccbef0d9e9cef674ffb2fb209424458ead2a50f4,5TONS 2WH TRAILERS,TRAILER/TIPPER/TRACTOR/TANKER,UNKNOWN,UNKNOWN,GREEN & YELLOW,Trailer For Commercial Use,01/01/2019,0,false
00611f42ca7853f9a18bc177632f90dfe9d89a0d1bbcb13e5ca22bdc4d0cc6c9,CT-100-,ES BSIV,BSIV,PETROL,EBONY BLK RED DKL,MOTOR CYCLE,01/03/2018,2,false
008454c68b6c03a2caa098d9c57acdf0e58cd44f5e0756c369cbf4a1eb4f298e,AMAZE,1.2 S MT (I-VTEC) BSIV,BSIV,PETROL,GOLDEN BROWN,MOTOR CAR,01/01/2019,5,false
0093a2182f33fcf6f7c3264d2d2ed7a82331363737da96537832a76a375f274b,CB,HORNET 160R EAS W FDISC R DISCBRAKE CBS BSIV,BSIV,PETROL,S RED,MOTOR CYCLE,01/04/2018,2,false
00ab1f86664588570cb492f247b3bcf3f7661d3c9d225afbf2faa3ce70a1c74f,CT,100 BSIV,BSIV,PETROL,EBONY BLK RED DKL,MOTOR CYCLE,01/05/2018,2,false
00ad7bfbe08aa40cedd39299f3b4ec62cf98157df645f4ee7920bee4581e9d0c,TATA,TIAGO XZA 1.2 RTN BSIV,BSIV,PETROL,TITNIUM_GREY,MOTOR CAR,01/11/2018,5,false
00b3259987814ab574419ee665f54a007b61ff30b611892b4733662f49644ac0,EICHER,PRO 3015 J SLEEPER CAB HSD-7S BSIV,BSIV,DIESEL,GOLDEN BROWN,Goods Carriage,01/08/2018,3,false
00d6782404867edf96f59ca206415aaa3b45e37f52ad0829916e8231bc231c6f,TATA,SUPER ACE MINT BSIV,BSIV,DIESEL,TITANIUM_WHITE,Goods Carriage,01/08/2018,2,false
00d8e7d48f7ce6dca29043af6c749b823cb3cec8043a2ed9e7776b69f20e7c0b,JOHN DEERE 5105 TRACTOR BSIIIA,TRAILER/TIPPER/TRACTOR/TANKER,BSIIIA,DIESEL,GREEN,Tractor for Commercial Use,01/01/2019,1,false
00e940ebf7e5c873ba17fee805aeeb7aa70cf4ef1d2b70cd1ea245086b2be4e8,FORD,FREESTYLE 1.2 PETROL TITANIUM MT BSIV,BSIV,PETROL,RUBY RED,MOTOR CAR,01/01/2019,5,false
00ec6238baaed5c8107f67def840cb6aef8353df1012e50ea0ed9900ec47cb34,X,BLADE ELECTRICASWFDISC REAR DRUM BRAKE BSIV,BSIV,PETROL,PEARL SPARTAN RED,MOTOR CYCLE,01/11/2018,2,false
00f27b8fdda8215cb6a95ea8efb1290d864c29285a924da48edff45e2a1c2b20,BHARATBENZ-917,BUS-2 BSIV,BSIV,DIESEL,GOLDEN YELLOW,Ominibus,01/06/2018,51,false
00fc26c9784c4a1d2103de8408c07050b5559f9e33d331005419ac467da37748,PASSION,PRO 110 (DRUM-SELF-CAST) BSIV,BSIV,PETROL,BHG,MOTOR CYCLE,01/07/2018,2,false
00ff164ff758cb5d87185cfcd7ee5b3643c791d209f89e71ace1de4d95238de6,WR-V,1.5 VX MT (I-DTEC) BSIV,BSIV,DIESEL,WHITE ORCHID PEARL,MOTOR CAR,01/02/2017,5,false
010eedf453a4b229c507164366771ee1c3ab3ba9e0eb6f45fb42cac70bcb9571,GIXXER,ABS BSIV,BSIV,PETROL,BLUE,MOTOR CYCLE,01/11/2018,2,false
010f9e2cebb292b6071ccfdb9020c469af95d97dc39a47ba5159cb050ee52200,CT,100 BSIV,BSIV,PETROL,EBONY BLK BLUE DKL,MOTOR CYCLE,01/08/2018,2,false
012f44435bfa53878cd3a91208c3d90233c4e83816ba10cedc795e3493e41818,YAMAHA,FZS (TYPE CODE RG072) BSIV,BSIV,PETROL,VIPER BLACK,MOTOR CYCLE,01/01/2017,2,false
015d579c47f3bc166c19221460066fbf8d681e02a57f549a3c1643742ca0a061,GLS350D,4MATIC BSIV,BSIV,DIESEL,DIAMOND WHITE,MOTOR CAR,01/10/2018,7,false
015f16dd4ba100be26854a42cfcef820ee1d62b08a9351f08149f3b771ee953c,LIVO,WK S S SWFDISC R D B W ALLOYWHEELS BSIV,BSIV,PETROL,SUNSET BROWN METALLI,MOTOR CYCLE,01/09/2017,2,false
0167b3bfb581a9464273df524c5ee278545f6eb3fbcd81353853982e7d7d852f,DISCOVER-110,BSIV,BSIV,PETROL,BLACK,MOTOR CYCLE,01/07/2018,2,false
018561598348e779658ae654be577a3e49d0de0c2bc59e14a282f2b07a2aaa30,I20-ASTA,DUAL TONE CRDI-BSIV,BSIV,DIESEL,RED AND BLACK,MOTOR CAR,01/01/2018,5,false
0185a4d4a177b6b54b9633690bf08a8fbc9f736431dae060736dc72eb0ed6e64,MAHINDRA,ALFA LC PLUS DIESEL BSIV,BSIV,DIESEL,GOLDEN YELLOW,Three Wheeled Goods Vehicle,01/03/2018,1,false
01863b95ed2d9aa49856e95f6bbfd939e450c3796cb341867c178f7a41ddff80,RENAULT,LODGY DCI STEPWAY RXL-JSRGWB BSIV,BSIV,DIESEL,PEARL WHITE,Maxi Cab,01/01/2018,8,false
018e0242ee8d68de4b012a9b559cb76103a9b3afe7ca6dd6e3b5fca0aa3784dc,MARUTI-SWIFT-VXI,BSIV,BSIV,PETROL,PEARL ARCTIC WHITE,MOTOR CAR,01/11/2018,5,false
0190e1dc5434bdec8f4ca386569aec312ddbcaf55bd37c58cb12cd8c1ae838a5,I20,ASTA VTVT BSIV,BSIV,PETROL,STAR DUST,MOTOR CAR,01/11/2018,5,false
0193a516c707c75211ad0aaab4e71c3d156ae7b0308ab82cf36d8136ed1219fb,MARUTI,IGNIS DELTA PETROL BSIV,BSIV,PETROL,PEARL ARCTIC WHITE,MOTOR CAR,01/07/2018,5,false
01b1060d7ba7db58bfce700ad56179d1e1bb872efccb3b391ce7153f5482da5b,MARUTI,SWIFT-ZDI AMT BSIV,BSIV,DIESEL,MET MAGMA GRAY,MOTOR CAR,01/09/2018,5,false
01c1ee109ff90d1e921fbcfad96329e0cf15c3fe3e9f5c388565ff3e73bd4257,MAHINDRA,575 DI MKM SARPANCH BSIIIA,BSIIIA,DIESEL,RED,Tractor for Commercial Use,01/12/2018,1,false
01c2418ebbb3a82221bd9da5c9c052b24654dfdc8034a3a1762eebee06247f6a,BULLET,350-ES BSIV,BSIV,PETROL,BLACK,MOTOR CYCLE,01/01/2019,2,false
01c657b85bdce82770c4bfb0fc3d66f4b5b2a8c2b9c5cba8454dac09a3830622,ACTIVA125,W EAUTO S K S DRUM CBSWALOYWL BSIV,BSIV,PETROL,M-BLUE,MOTOR CYCLE,01/10/2018,2,false
01cfb8ebe0b061119037fab63a5812603fb254105f69d82775aade1e1d980539,TATA,SAFARI STORME VX 4X2 7SEA VARICOR07 E BSIV,BSIV,DIESEL,PEARL_WHITE,MOTOR CAR,01/10/2018,7,false
01da5e578f2c47f148b293a92f0e5b1aa34e2269423c3419c3cae0e8cfaa08e0,EON,SPORTZ BSIV,BSIV,PETROL,POLAR WHITE,MOTOR CAR,01/07/2018,5,false
01e89c1802c63c59b9290ad7846258714753951bb0a16e3def94519b47446d74,CB,UNICORN E AUTO S K SWALLOY W W F D B RD BSIV,BSIV,PETROL,PEARL SIENA RED,MOTOR CYCLE,01/02/2018,2,false
01e99f5a0c82991e0e8963d2f72556e028cda77aae83013d706ec56b647dabe2,MARUTI-ALTO-800-VXI,BSIV,BSIV,PETROL,SILKY SILVER,MOTOR CAR,01/01/2019,5,false
01ee84f34f64f9448d06ba0cd8c43b8f5517a442e4bfef1f21c537c4641bbe93,PLEASURE,- IBS-CAST-DRUM-SELF BSIV,BSIV,PETROL,MATAL BLUE YELLOW,MOTOR CYCLE,01/05/2018,2,false
02035a87bdc587b693b83256ffc51d1d1043733a3e6a77d3bc45c7483d22f819,TVS,SCOOTY ZEST BSIV,BSIV,PETROL,MATTE RED,MOTOR CYCLE,01/11/2018,2,false
020663584c0fe20ae5fc777366603b526ff440883e3496d9afda8ab8e7df49d5,MAHINDRAARJUN555DI,PP(BRANDNAME ULTRA 1) BSIIIA,BSIIIA,DIESEL,RED,Tractor for Commercial Use,01/12/2018,1,false
02070a6abf373a1ff9b4fc02b3b7ca424e99967a5381521695ccc0ddb0744c66,AVIATOR,W EAS KS DRUM CBS W ALLOYWHEEL BSIV,BSIV,PETROL,PEARL AMAZING WHITE,MOTOR CYCLE,01/08/2018,2,false
021a4d55ae443e3f08367f4947d0c5e3182f3c62226efdb92bb485ec9705a68e,XTREME,SPORTS-REAR DISC BRAKE (ELECTRIC ST BSIV,ELECTRIC,PETROL,BLACK,MOTOR CYCLE,01/02/2018,2,true
022228b89848acca8f9cb9ebdc7af773daadf0c32c6c7409b48bc985eed4fe5f,CASE,770 EX-SS (NEW CHASSIS) BSIII,BSIII,DIESEL,POERTRAN GREAY,Loader,01/10/2018,1,false
022e7d1e74b8a8fab55c9c5112d842256c2eb634dc25a1116b6e1a7734af8bc1,ACCESS-125,CBS BSIV,BSIV,PETROL,MAT BLACK,MOTOR CYCLE,01/01/2019,2,false
022efe98e6aa7bf2e75d7656c9cfb76c2ad1375b12f1a9138f7a1dd483a15031,RENAULT,DUSTER RXZ DCI-85 PS (HSRAWE) BSIV,BSIV,DIESEL,WHITE,MOTOR CAR,01/12/2018,5,false
0233abe0f915336d076b56d2d2f0f85291365a651c1ba8ac70431b871cb6c9a7,GRAND-I10,SPORTZ 1.2 CRDI BSIV,BSIV,DIESEL,STAR DUST,MOTOR CAR,01/10/2018,5,false
02442268d4e5ecdb466c5abbed6e7f04402528a53d5c813ba858a04921bd1aff,MARUTI-ALTO-800-LXI(O),BSIV,BSIV,PETROL,SILKY SILVER,MOTOR CAR,01/11/2018,5,false
024af2a86111d25df323b42fe3370bc2856c6600ba8d6d90dea41756cc07169f,MARUTI,SWIFT-ZDI AMT BSIV,BSIV,DIESEL,PEARL  ARCTIC WHITE,MOTOR CAR,01/01/2019,5,false
0257f78def801cb14c7ecf5b1eacb4b31474ac8acd5d3231dde75e7c703d9d3b,ACCESS,125 BSIV,BSIV,PETROL,WHITE,MOTOR CYCLE,01/05/2018,2,false
025ff53121380742f90c0bb5b60566084045b42aacdd6aed53ee7ae6062ea510,CITY,1.5 VX MT(I-VTEC) BSIV,BSIV,PETROL,MODERN STEEL METALLIC,MOTOR CAR,01/09/2018,5,false
0264906bb92cd01b12b468fb3bcb9a8c953654c7a694317e89cb0975f3e588f4,GRAND,I10 MAGNA 1.2 BSIV,BSIV,PETROL,STAR DUST,MOTOR CAR,01/10/2018,5,false
026cd8e769d2b7050165049d0131be1ac1506526ebf3465ae203d52a8b2768c7,PULSAR,150 DTS-I BSIV,BSIV,PETROL,KHI EBONY BLACK,MOTOR CYCLE,01/03/2018,2,false
028285fd914c178201136fc7d56f9944dd9983378334baaf394f4a225bf579c3,TVS,STAR CITY+ BSIV,BSIV,PETROL,BK/VRDDL,MOTOR CYCLE,01/09/2018,2,false
0287595eade950ac0473f679a0cab8df95d588c8dbf2dcf9569618d46fe3344c,3718COWL,(L10450) BSIV,BSIV,DIESEL,INA,Chassis Transport,01/01/2019,1,false
0293c4e5994624eada0bf063c8b500193340754476b5c88db8521f075c0ed3fa,VESPA,SXL BSIV,BSIV,PETROL,MATT BLACK,MOTOR CYCLE,01/08/2018,2,false
02a764ba06253517e69963f9545f51a71723ac6a6aa714fc934a9ebcb1d7b364,PLEASURE,- IBS BSIV,BSIV,PETROL,SRD,MOTOR CYCLE,01/10/2018,2,false
02b0971d24999246fc527932a729a87e43c4728a53c3761d287a832faf3087fa,KODIAQ,LAURIN KLEMENT-AT110KW TDICR4X4 BSIV,BSIV,DIESEL,LAVA BLUE,MOTOR CAR,01/11/2018,7,false
02b60ff27d9261b81c14bcc7521a6e9a448cab90e2507039c7f73abb78b82e4a,MAHINDRA,ALFA PAX DX DIESEL BSIV,BSIV,DIESEL,GOLDEN YELLOW,Auto Rickshaw,01/12/2018,4,false
02c28709d57f91d8921ed010613ff03f1dd20c00ae9d2c0527daca78863360c2,TVS,KING ZS+ BSIV,BSIV,PETROL,ECO GREEN,Auto Rickshaw,01/12/2018,4,false
02c47ddb3cb741f6494ba3f49ecacb81f607122e3b7db5808a17044490bc0ef9,BHARATBENZ,1214R-51 HSD LB WB 4250 BSIV,BSIV,DIESEL,GOLDEN BROWN,Goods Carriage,01/10/2018,3,false
02e3c4adace6cf433c276a1e95c859df880c7ecb48c34512d8cbe1f6334892d4,GIXXER,BSIV,BSIV,PETROL,BLACK,MOTOR CYCLE,01/09/2018,2,false
02ee7c838b14e452f67ddedb6aef4eb9dc8195b162b76e2aecde194063183237,432ZC,C3 BSIII-CEV,BSIII,DIESEL,YELLOW,Loader,01/12/2018,1,false
02f23e8fb363d0fedfccbf0a5328eb3b8bf6d74dcf9bfaec7abff6d5ef16f4a0,TATA LPK1212 CRX 30WB FFC TIPPER CH CAB LB BSIV,TRAILER/TIPPER/TRACTOR/TANKER,BSIV,DIESEL,WHITE,Goods Carriage,01/04/2018,2,false
030183af9b5072d621f16dc200b594d97fe310b6b10cac6f00415c4489ccc7f5,SANTRO,1.1 MT MAGNA BSIV,BSIV,PETROL,STARDUST,MOTOR CAR,01/11/2018,5,false
030402deac7345430b06fb7aa0f513cddce44c27d494e0bfec040e2b2c0a7f7d,KTM,200 DUKE BSIV,BSIV,PETROL,EBONY BLACK(MET),MOTOR CYCLE,01/05/2018,2,false
0306085cab079e1b8c0a3dc0abca8d1d418de47b902dcee87d573d0911cee813,PLEASURE,- IBS BSIV,BSIV,PETROL,SPORTES RED,MOTOR CYCLE,01/03/2018,2,false
030cbfb9bc25ba306e2d816a8ca60e21889f817c836adb96ef16d381c80a34e3,YAMAHA,FZ (TYPE CODE RG071) BSIV,BSIV,PETROL,BLACK,MOTOR CYCLE,01/06/2018,2,false
031013ce1f52aa7624d04dbeb145d23f9a059f2641cbae9b3de482ead15ef7c9,TATA,BOLT XE QJET 75PS BSIV,BSIV,DIESEL,PRISTIN_WHTE,Motor Cab,01/07/2018,5,false
031880a3e7ac4c88a2ce5f7a8b45ca450da848d1cb90510126073f9be44efcbe,SPLENDOR+,(SELF-DRUM-CAST) BSIV,BSIV,PETROL,GREY BLACK,MOTOR CYCLE,01/08/2018,2,false
032a5c7705f02e639cf9a73639a5ce5f85093b951855af44a248384fdfab98b4,FORD-ECOSPORT,1.5 DIESEL TITANIUM MT BSIV,BSIV,DIESEL,DIAMOND WHITE,MOTOR CAR,01/01/2019,5,false
0339579c5f128e51334e0d84cc4ba09c5ab97bd2fc191c615af5857ead95471e,FLASH,E5,UNKNOWN,ELECTRIC,WHITE,Mopeds and Motorised Cycle,01/01/2019,2,false
0357fd96d0adc2784a81ce40a33796e16f49bc6c0ab1a2dea541ce134670a18d,CITY,1.5 ZX CVT (I-VTEC) BSIV,BSIV,PETROL,WHITE ORCHID PEARL,MOTOR CAR,01/01/2019,5,false
0364785443d0a20ab8e5980c80b01bc070c9664a811bfcae538ba3925d5a69c9,MARUTI,CIAZ SMART HYBIRD ALPHA BSIV,BSIV,ELECTRIC,MET MAGMA GRAY,MOTOR CAR,01/11/2018,5,false
0375209f011a9d6525fcf116d49f4fc8c5b86322ecb939cd0dd521a223d5049f,PASSION,PRO 110 (DISC-SELF-CAST) BSIV,BSIV,PETROL,BLACK HEAVY GRY,MOTOR CYCLE,01/10/2018,2,false
0388ffc2e20be5b251c0a226c6d9717a7b104bac484551b62ba236f660b15886,MARUTI-SWIFT-VXI,BSIV,BSIV,PETROL,MN BLUE,MOTOR CAR,01/08/2018,5,false
0399b59c5a4f73e0641f6a710c05df9b4ac16c4a36c3d9e3c93f0dafe00a95cc,DESTINI,125 (LX) BSIV,BSIV,PETROL,PANTHER BLACK METL,MOTOR CYCLE,01/01/2019,2,false
039cb218ba954f93ddff837e76625753dc754e76b284abd5b7a8e34b0c6b1d57,TWO WHEELER SEMI TRAILOR TIPPING - 5 TONNS,TRAILER/TIPPER/TRACTOR/TANKER,UNKNOWN,UNKNOWN,RED AND GREEN,Trailer for Agriculture Purpose,01/10/2018,0,false
03a798c0007bb1a04de734aa7321e3bcfd407ebb3790bcafec6dd40ac5f6c3a8,INNOVA,CRYSTA 2.4G 7S BSIV,BSIV,DIESEL,GREY METALLIC,MOTOR CAR,01/11/2018,7,false
03aa81cce291102d02a989d32f638054ff3ceed13439b0fa720fa1a7f523796b,HINDUSTAN,2021D WHEELLOADER WZ BARLINKAGE BSIII,BSIII,DIESEL,YELLOW,Loader,01/12/2018,1,false
03aec18270c6bfc3b4b3e9c92ef61d5ff0b7698320d292eb476015789a901232,CRETA-1.6,CRDI SX BSIV,BSIV,DIESEL,PHANTOM BLACK,MOTOR CAR,01/12/2018,5,false
03b32ec9070a08e5a8f72c73e4599a2f9fd27aeb5cf224de1193910ffad9ef2e,CBHORNET160R,E A S WFDISC RDISC BRAKEWCBS BSIV,BSIV,PETROL,ATHLETIC BLUE METALL,MOTOR CYCLE,01/05/2018,2,false
03c190d9f551737f5f5e402f0db1d2484eb1e2172ae6e9e6316f67f1aabbba5a,5 TONS 2 WHEELER SEMI TIPPING TRAILER,TRAILER/TIPPER/TRACTOR/TANKER,UNKNOWN,UNKNOWN,RED,Trailer For Commercial Use,01/03/2018,0,false
03c9277168ae12e9fd7e39b523d6def125e39cd5682606d57d625fe48c7844f3,TATA,BOLT XE QJET 75PS BSIV,BSIV,DIESEL,PRISTIN_WHTE,Motor Cab,01/05/2018,5,false
03ca04d267bf89d5955ac065109c7d8427426cc19d6c92ed764efa8a4e1f9dca,MARUTI,BALENO ALPHA BSIV,BSIV,DIESEL,PEARL ARCTIC WHITE,MOTOR CAR,01/11/2018,5,false
03ccdaaa4ab724ed5259be38fe519993fb22cf3aede3770b12bf8c67d1ca17c1,FORD,FIGO ASPIRE 1.5 DIESEL TITANIUM MT BSIV,BSIV,DIESEL,SMOKE GREY,MOTOR CAR,01/10/2018,5,false
03d4e5d02feb0baf5c960f8b4c32840ee3f221adc355e35d1cac32bcb9acb3db,VESPA,SXL BSIV,BSIV,PETROL,AZZURE BLUE,MOTOR CYCLE,01/01/2018,2,false
03d95cc61202d23e74891cb42a24db50210f88a475607ec9d3da2d04f85c71df,YAMAHA,FZS RG447 BSIV,BSIV,PETROL,HURRICANE GRAY,MOTOR CYCLE,01/06/2018,2,false
03ebac5249b1c7232fcc7b207cf8b760c40a450b8813c7d43e7e7d57a9a22de7,MARUTI-IGNIS-SIGMA-PETROL,BSIV,BSIV,PETROL,PEARL ARCTIC WHITE,MOTOR CAR,01/08/2018,5,false
040ca3e9a84ff39be80916f48404f339d3b347e12797003380e20fb81dcd8f48,NEW,HOLLAND 4710 BSIII,BSIII,DIESEL,BLUE & BLACK,Tractor for Agricultural Purpose,01/01/2019,1,false
040f3e76ca817fafea5e6e3f24a08cc01c29b921ba1be5705870462463027d22,OCTAVIA,LAURIN KLEMENT AT(132KW TSI)BSIV,BSIV,PETROL,MAGIC BLACK,MOTOR CAR,01/12/2018,5,false
04133eb48cde71b3b53c1d703fd20918097bfbc1e80cb92c89889b1de5734ce6,PARTNER,SES GCHASSIS W LB FFC HSD BSIV,BSIV,DIESEL,AQUA BLUE,Goods Carriage,01/08/2018,3,false
04236fe507bf1bbd263731d3c90e328c4154ca4d546c92550d667249192ab934,MARUTI,BALENO RS PETROL BSIV,BSIV,PETROL,SLD FIRE RED,MOTOR CAR,01/03/2018,5,false
043115869812bf314e941065b4efc5ca57230971e74376a297c9dc4345aca537,AMAZE,1.2 S MT(I-VTEC) BSIV,BSIV,PETROL,WHITE ORCHID PEARL,MOTOR CAR,01/07/2018,5,false
0436eef21b2d1f193549e46984e3cba4ec68a7b12b227f9d726a46bb53c2e3cc,TATA,NEXON-XZA+ 1.2 RTN BSIV,BSIV,PETROL,MRCNBL_IVRYW,MOTOR CAR,01/09/2018,5,false
043c594af250730f20a9f9c166eb03d6931453c1aa743dcd266346ff07cd819b,TRX,2319 BSIII,BSIII,DIESEL,ORANGE,Crane For Private Use,01/01/2019,1,false
04426754b5a04f25134084bc2c2e60ee4c8786eb4632a1bd27431efb62732255,VW,POLO 1.5 TDI 66KW-TRENDLINE BSIV,BSIV,DIESEL,CANDY WHITE,MOTOR CAR,01/08/2018,5,false
0444383ffa74ab04217b9912355ce16a7da51566b3ba8967ae775fb1c640cb90,MAHINDRA,605 DI I (BRAND NAME ARJUN NOVO) BSIIIA,BSIIIA,DIESEL,RED,Tractor for Commercial Use,01/11/2018,1,false
0446bcf0a833c782b17804289fcaf361ecfeb2bd2e0f234a3b759e663d75a8ed,PARTNER,XLS HSD BSIV,BSIV,DIESEL,WHITE,Goods Carriage,01/07/2018,3,false
045d8480f356499c855228b2dea32f3a32c371726ea4f15416fdff62513d46f6,5TONNS 2WH SEMI TRAILER TIPPING IRON BODY,TRAILER/TIPPER/TRACTOR/TANKER,UNKNOWN,UNKNOWN,GREEN AND GREEN,Trailer for Agriculture Purpose,01/06/2018,0,false
046024e53f6b9b49b81e6567904ac40af457b1a50ec784dfb2bc55883314fce7,I20,ASTA (O) VTVT-BSIV,BSIV,PETROL,POLAR WHITE,MOTOR CAR,01/10/2018,5,false
0462536d5d7add363f8b3a5e531da1c5ac46c24b08aa510c60c5d850dc98c1f6,CLASSIC,350 BSIV,BSIV,PETROL,GUNMETAL GREY,MOTOR CYCLE,01/08/2018,2,false
0464aa5e1b9e3bbe1d5e344ccb0326ed1b941c984918e5d537cc56157d53b0c7,RENAULT,DUSTER AMT RXS DCI-110PS(HSRCFK) BSIV,BSIV,DIESEL,PEARL WHITE,MOTOR CAR,01/12/2018,5,false
04652ba83a4c7505ce9fb8fa96ccbff7cf3edfa562a630997021fe343df2d6c8,CLA200D,BSIV,BSIV,DIESEL,CIRRUS WHITE,MOTOR CAR,01/01/2018,5,false
0467adfcc785f7c43ffe985149af4fc9033356fd1c034141f305f20754cc9fac,VESPA,VXL BSIV,BSIV,PETROL,RED,MOTOR CYCLE,01/10/2017,2,false
0483ff630cd70cbb27facc85bf75ee10cc7e91284319bd012eb506551e71fde3,MAINDRA,ARJUN 555DILT (ULTRA-I)BSIIIA,BSIIIA,DIESEL,RED,Tractor for Commercial Use,01/06/2018,1,false
04854aea2daf10f3e54f277a9798cb9ed9010267caf8ae7457abd448a71e6d9b,BHARATBENZ,3128CM - 3 BSIV,BSIV,DIESEL,YELLOW,Goods Carriage,01/12/2018,3,false
04afdb54c7087ee90a121ff52d49897de6e0193267953609a00a9f7688dca7ba,CLASSIC,350 BSIV,BSIV,PETROL,BLACK,MOTOR CYCLE,01/05/2018,2,false
04b4fd1bc998482d949aca98a7d6df6dece71551d613757d52cf75c79ce3a6ec,FORD,ECOSPORT 1.5 PETROL TITANIUM MT BSIV,BSIV,PETROL,MOONDUST SILVER,MOTOR CAR,01/07/2018,5,false
04b8e5ecafe02e57a99756e98731f331c898c48795888b5235f7296aab0712a4,CB,SHINE W F DRUM B K S E S W CAST WHEELS BSIV,BSIV,PETROL,BLACK,MOTOR CYCLE,01/01/2018,2,false
04ba53fec27a1db3bd7bbb0af05b8ce2d12f29d0f9597514bc0d405870ad1c2a,TATA,LPT3118/52CR 8X2 TC COWL 450LTS BSIV,BSIV,DIESEL,ARCTIC_WHITE,Goods Carriage,01/12/2018,1,false
04bfdc72369856450ace8f6dbcbad2f42eaad550699da4db622a628745a11606,TVS,VICTOR BSIV,BSIV,PETROL,MATTE BLUE,MOTOR CYCLE,01/01/2019,2,false
04d0433bfb2bd9080579c3475345a5a4856041529ec34ea79b5dddf1eed43508,CONTINENTAL,GT 650 BSIV,BSIV,PETROL,ICE QUEEN WHITE,MOTOR CYCLE,01/12/2018,2,false
04d26c9f5b575f89675b5cb5a06fe2e3fd5b3b60a834f98179f6348b32eaca6a,GIXXER,BSIV,BSIV,PETROL,BLUE,MOTOR CYCLE,01/06/2018,2,false
04dd447090b68737c05769d3ff20c36d9f5f35a48c579df766399bbed6b0171a,PLEASURE,- IBS-CAST-DRUM-SELF BSIV,BSIV,PETROL,BLACK,MOTOR CYCLE,01/03/2018,2,false
05007c6e9bb7e98eac0f37794c16716f700d35d17588570e83e608cef439ff66,AMAZE,1.2 S-MT(I-VTEC) BSIV,BSIV,PETROL,RADIANT RED M,MOTOR CAR,01/12/2018,5,false
050641f6154bb107befaeaa111524136a516ba16ed5fcab9ff19006942213839,APE,XTRA PASSENGER STD BSIV,BSIV,DIESEL,GOLDEN YELLOW,Auto Rickshaw,01/09/2018,4,false
05198a9c6a37041054d9b10a69ded5b5022e568b32b04f622caf194426576a6e,JEEP,COMPASS LIMITED(O) 1.4MAIR DDCT BSIV,BSIV,PETROL,BRILLIANT BLACK,MOTOR CAR,01/05/2018,5,false
0528c27a0a3e2ac9719f0f0fcb47346296d8cd8983f0ee9f48ac08b5dae3354d,EON,MAGNA+ BSIV,BSIV,PETROL,STAR DUST,Motor Cab,01/07/2018,5,false
052be4e3cdf792d6fff94b30e53c654bef5779716cb7ed25781a8984f8dabbf5,EICHER 480 TRACTOR BSIIIA,TRAILER/TIPPER/TRACTOR/TANKER,BSIIIA,DIESEL,BLUE,Tractor for Agricultural Purpose,01/01/2019,1,false
053463f13ab7b12344a623bff3410dee2269854e1bbd0cb76211cbce99fc36b2,5TON 2WHEELER SEMI TIPPING TRAILER,TRAILER/TIPPER/TRACTOR/TANKER,UNKNOWN,UNKNOWN,GREEN AND YELLOW,Trailer For Commercial Use,01/01/2019,0,false
0535336f76dce859317b6b09a8c1f9b26df4515633a6838c0c8ea8b3d335d2e7,5TONS 2 WHEELER WATER TANKER,TRAILER/TIPPER/TRACTOR/TANKER,UNKNOWN,UNKNOWN,GREEN&YELLOW,Trailer For Commercial Use,01/01/2019,0,false
